"IP Address","Country Code","ISP","Domain","Abuse Confidence Score (%)","Total Reports","Last Reported At"
"1.1.1.1","AU","APNIC and Cloudflare DNS Resolver project","cloudflare.com","0","57","2024-11-20T16:01:14+00:00"
"8.8.8.8","US","Google LLC","google.com","0","48","2024-11-20T11:00:54+00:00"
"4.4.4.4","ID","Level 3 Parent, LLC","level3.com","0","0","2024-07-10T23:58:56+00:00"
"89.21.88.3","UA","EXPRESS Radio Network","express.net.ua","0","0",
"185.94.111.1","RU","HLL LLC","curator.pro","100","12044","2024-11-21T07:40:12+00:00"
"192.168.1.1","N/A","PRIVATE","curator.pro","N/A","N/A","N/A"
